唉声叹气	哀声叹气
安装机器	按装机器
意义深奥	意义深粤
邦交	帮交
锐不可当	锐不可挡
纵横捭阖	纵横稗阖 纵横俾阖 纵横捭合
以见一斑	以见一般
班门弄斧	搬门弄斧 般门弄斧
民生凋敝	民生凋蔽 民生凋弊
遮天蔽日	遮天避日
大有裨益	大有稗益 大有捭益 大有啤益
完璧归赵	完壁归赵
刚愎自用	刚腹自用
脉搏微弱	脉膊微弱 脉博微弱
赤膊上阵	赤搏上阵 赤博上阵
部署已定	布署已定
惨无人道	残无人道
残酷无情	惨酷无情
酒中掺水	酒中渗水
清澈见底	清彻见底 清撤见底
撤销处分	撒销处分
驰骋疆场	驰聘疆场
鞭笞三百	鞭苔三百
签字盖戳	签字盖戮
惨遭杀戮	惨遭杀戳
义不容辞	义不容词
拼拼凑凑	拼拼凑揍
出类拔萃	出类拔粹
尽瘁国事	尽悴国事
以逸待劳	以逸代劳
制订公约	制定公约
稍事耽搁	稍事担搁
管理档案	管理挡案
玷污清白	沾污清白
掉以轻心	调以轻心 吊以轻心
横渡长江	横度长江
欢度春节	欢渡春节
堕落腐化	坠落腐化
咄咄逼人	咄拙逼人 拙拙逼人 绌绌逼人
翻天覆地	翻天复地
三番两次	三翻两次
反复无常	翻复无常
妨碍交通	防碍交通
防卫工作	妨卫工作
枉费心机	枉废心机 妄费心机
认识肤浅	认识浮浅
英雄气概	英雄气慨
慷慨解囊	慷概解囊
贡献巨大	供献巨大
辜负好意	姑负好意
明知故犯	明知固犯
步入正轨	步入正规
诡计多端	鬼计多端
随声附和	随身附和 随声附合 随生附和
宽宏大量	宽洪大量 宽弘大量
全国轰动	全国哄动
哄堂大笑	轰堂大笑
声音洪亮	声音宏亮
荒谬绝伦	谎谬绝伦
心灰意冷	心恢意冷
掉入陷阱	掉入陷井
即使如此	既使如此
既然如此	即然如此
毕竟	必竞 必竟
丰功伟绩	丰功伟迹
模范事迹	模范事绩
不计其数	不计其记 不记其数
艰难困苦	坚难困苦
情不自禁	情不自尽
绝对服从	决对服从
颗粒归仓	棵粒归仓
刻苦耐劳	克苦耐劳
克服困难	刻服困难
腊梅盛开	蜡梅盛开
味同嚼蜡	味同嚼腊
陈词滥调	陈词烂调
狂轰滥炸	狂轰烂炸
篮球运动	蓝球运动
描绘蓝图	描绘篮图
再接再厉	再接再励
励精图治	历精图治 厉精图治
劳动锻炼	劳动锻练
军事训练	军事训炼
锤炼语言	锤练语言
语言简练	语言简炼
书写潦草	书写了草
风靡一时	风糜一时
甜言密语	甜言蜜语
自寻烦恼	自寻烦脑
打架斗殴	打架斗欧
风尘仆仆	风尘扑扑 风尘仆扑
启封试卷	起封试卷
感情融洽	感情融恰
恰如其分	洽如其分
乔装打扮	巧妆打扮 巧装打扮 乔妆打扮
一窍不通	一巧不通 一窃不通
孺子可教	儒子可教
含辛茹苦	含辛如苦
喜上眉梢	喜上眉稍 喜上眉捎
挑拨是非	挑拨事非
莫衷一是	莫衷一事 莫中一是
毛骨悚然	毛骨竦然 毛骨耸然
鬼鬼祟祟	鬼鬼祟崇 鬼鬼崇崇
雪中送炭	雪中送碳
提纲挈领	题纲挈领 提纲携领
金榜题名	金榜提名
泄露秘密	泻露秘密
通宵达旦	通霄达旦
九霄云外	九宵云外
考生须知	考生需知
需要文件	须要文件
世外桃源	世外桃园
圆满成功	园满成功
异口同声	一口同声
性格急躁	性格急燥
口干舌燥	口干舌躁
绿草如茵	绿草如荫
记忆犹新	记忆尤新
怨天尤人	怨天由人 怨天犹人 怨天忧人
尤其重要	犹其重要
振聋发聩	震聋发聩 振聋发溃
震耳欲聋	振耳欲聋
出奇制胜	出其制胜 出奇致胜
以致失败	以至失败
有所遵循	有所尊循
由衷感谢	由忠感谢
坐落东方	座落东方
黯然失色	暗然矢色 暗然失色
按部就班	按步就班
白璧无瑕	白璧无暇 白壁无瑕
目不暇接	目不瑕接 目不遐接
再来一次	在来一次
